,,,Outlook Email Tool,Teams Chat Tool,"Daily  Coupon Service for ""Raphael's Diner"" ","Write access to: ""E:\\Documents\Contract_templates\""","Read access to: ""E:\\Documents\Contract_templates\""",C&C Maker Default Access,C&C Maker Approval North Amerika Access,C&C Maker Approval Europe Access,C&C Maker Approval Asia Access,C&C Maker Legal Approval,L.P.Bac Delivery Service,Pax Pecuniae,N&A Maker Legal Approval,"Read access to: ""E:\\Documents\Old_contracts\""","Write access to: ""E:\\Documents\Old_contracts\""",Greyman Time Booking Software Access,"Customer database query ""North America""","Customer database query ""Europe""",Company Policies North America & Europe,Company Policies Asia,"Customer database query ""Asia""",Employee Financial Reward Approval Team Contracts Negotiation,Employee Financial Reward Approval Team Contracts Template Creation,Employee Financial Reward Approval Team Legal Consulting,Payments Letters and Parcels,Payments S.B Coffee Delivery Services,"Read access to: ""E:\\Documents\Corporate_Design\""","""CharoLingua"" Language Translation Tool","""ConsiliumC"" Contract Design Manual",Adobe Photoshop License
,,,1000,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029
"Hansen, Jestine",Contracts negotiation,3100,X,X,X,,X,X,,,,,,,,,X,X,,,,,,X,,,O,O,,,,
"Rohrich, Andreas",Contracts negotiation,3101,X,X,X,,X,X,,,,,O,,,,,,,,,,,,,,O,O,,,,
"Aksenfeld, Alex",Contracts negotiation,3102,X,X,X,,X,X,,,,,O,,,,,,,,,,,,,,O,O,,,,
"Roppel, Eckard",Contracts negotiation,3103,X,X,X,,X,X,,,,,O,,,,O,O,,,,,,,,,O,O,,,,
"Andreen, Corrine",Contracts negotiation,3104,X,X,X,,X,X,,,X,,,,,,O,O,,,,X,X,,,,O,O,,,,
"Cordrey, Darlene",Contracts negotiation,3105,X,X,X,O,X,X,X,X,,,,O,,,O,O,X,X,X,,,,,,,,,,,
"Lessing, Ulrich",Legal consulting,3106,X,X,X,,,,,,,X,O,X,O,X,,,X,X,X,,,,,,,,,,,
"Schindler, Christine",Legal consulting,3107,X,X,X,,,,,,O,X,O,X,O,X,,,,,,X,X,,,,,,,,,
"Havertz, Veera",Legal consulting,3108,X,X,X,,,,,,,X,O,X,O,X,O,X,,,,,,,,X,,,,,,
"Kistler, Olivia",Legal consulting,3109,X,X,X,,,,,,,X,O,X,O,X,,,,,,,,,,,,,,,,
"Stein, Carsten",Contracts template creation,3110,X,X,X,X,X,,,,,,,,,,,X,,,,,,,X,O,,,X,X,X,X
"Steinbinder, Elrike",Contracts template creation,3111,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,X,X,X,X
"Eigenstein, Bernhard",Contracts template creation,3112,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,X,X,X,X
"Stone, Sophie",Contracts template creation,3113,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,X,X,X,X
"Schreibhuber, Herbert",Sales,3114,X,X,X,,,,,,,,,,,,,,,,,,,O,O,O,X,X,,,,
"Horex, Werner",Sales,3115,X,X,X,O,X,X,,,,,,,,,,,,,,,,,,,,,O,O,O,O
